file;vertices;edges;time;solsize;recsteps;finished;verified
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w117.dimacs;81;531;2.66;485;24;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w119.dimacs;82;1278;1.94;2056;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w121.dimacs;119;2717;9.34;3546;1;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w123.dimacs;119;2029;26.52;6514;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w125.dimacs;128;4088;1.58;2008;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w127.dimacs;123;2155;;;;0;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w129.dimacs;130;7692;0.56;1399;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w131.dimacs;137;1525;107.36;6072;1;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w133.dimacs;127;1443;;;;0;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w135.dimacs;108;2811;;;;0;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w137.dimacs;146;3495;2.01;1784;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w139.dimacs;154;5117;52.91;7945;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w141.dimacs;152;3960;;;;0;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w143.dimacs;159;1751;;;;0;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w145.dimacs;160;1673;;;;0;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w147.dimacs;163;1322;;;;0;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w149.dimacs;202;10730;0.10;416;0;1;correct;
/home/users/j/j.koeppeler/wce-students-real/2-real-world/w151.dimacs;216;7190;;;;0;
